page,text,confidence,x0,y0,x1,y1
1,-11%,0.7878033518791199,4753,379,4783,393
1,88 %,0.9435107111930847,4931,379,4963,396
1,189%,0.7460079479496219,5106,379,5143,396
1,231%,0.9684849316117097,5286,379,5323,396
1,22%,0.9954409472569511,5461,379,5493,396
1,"Paris, FR",0.6548656138935941,5503,379,5560,396
1,nla,0.7417994494205393,6033,379,6058,396
1,nla,0.7314066696610575,6213,379,6238,396
1,nla,0.7417994494205393,6393,379,6418,396
1,nla,0.7314066696610575,6573,379,6598,396
1,nla,0.6937168698223762,6698,379,6723,396
1,Open Source business application suite_,0.6098634161458059,686,386,913,403
1,Nexite,0.9999777104633611,684,414,726,431
1,retail technology company,0.9253929203651837,746,414,903,433
1,hide,0.9998407959938049,149,424,176,436
1,Nexite,0.999995035964387,221,424,263,438
1,"Jul 28, 2025 12.57 PM",0.8089839285821557,524,424,656,441
1,nexite.io,0.94034356435038,1164,424,1221,441
1,51-200,0.7261566522464028,1339,424,1383,438
1,Israel,0.9999365377941969,1534,424,1573,441
1,Tel Aviv,0.6549732361337116,1646,424,1696,438
1,Tel,0.9999759111084772,1764,424,1786,436
1,Aviv-Yafo,0.9060754301438296,1784,424,1843,441
1,nexiteretail,0.6209907019491682,1874,424,1946,441
1,Load contacts,0.9999223226372799,2024,424,2111,441
1,ntacts,0.9712462580540147,2073,424,2111,441
1,Venture Capital,0.8711839920348,2134,424,2229,441
1,2017,0.9999970197677612,2254,424,2286,438
1,100,0.9994392995902012,2439,424,2464,441
1,May,0.9999971781544015,2692,424,2721,441
1,2022,0.9999963641166687,2739,424,2774,441
1,Series,0.9998563102881983,2784,424,2826,441
1,Battery Ventures,0.9986720091527311,2934,424,3036,441
1,nla,0.4624359164859709,3104,424,3129,441
1,Saban Ventures,0.758848406460661,3234,424,3331,441
1,nla,0.4339280127468006,3354,424,3379,441
1,nla,0.5827463586523766,3579,424,3604,441
1,nja,0.27263294926276005,3614,424,3639,438
1,nja,0.25011304367060044,3994,424,4019,438
1,5 %,0.5632518400682645,4219,424,4244,441
1,10%,0.9992797757385277,4396,424,4423,441
1,12%,0.9988421005544807,4574,424,4604,441
1,nfa,0.2671079589864682,4761,424,4783,438
1,nla,0.40967823440014917,4941,424,4963,441
1,nla,0.42287644989160783,5121,424,5143,441
1,nla,0.7154318699265589,5298,424,5323,441
1,nla,0.7204924375285924,5468,424,5493,441
1,"126 Igal Alon; Tel Aviv, Tel Aviv, IL",0.9693713620926574,5506,424,5700,441
1,nla,0.7191107673343996,6033,424,6058,441
1,nla,0.7315785388524036,6213,424,6238,441
1,nla,0.7191107673343996,6393,424,6418,441
1,nla,0.7315785388524036,6573,424,6598,441
1,nla,0.7154318699265589,6698,424,6723,441
1,specializing in loT and Al solutions for fashio_,0.8424733117844024,682,428,954,452
1,technology provider,0.9975081982168278,765,455,889,480
1,Deliverect,0.999973837883715,684,459,748,476
1,1%,0.5833475673955522,4222,466,4244,486
1,"Foreestelaan 82 bus 101; Ghent, Flemish Region 9000, BE",0.6736251222074464,5506,466,5835,486
1,hide,0.9998452067375183,149,469,176,481
1,Deliverect,0.9999917065768033,224,469,286,486
1,"Jul 28, 2025 12.57 PM",0.7466977791596398,526,469,656,486
1,deliverect com,0.9522292890839451,1164,469,1258,486
1,201-500,0.95580201144765,1329,469,1383,483
1,453,0.488780533843422,1476,469,1503,483
1,Belgium,0.9999729206989607,1534,469,1586,486
1,Flanders,0.8657707570666985,1644,469,1701,486
1,Ghent,0.9483758328304679,1764,469,1806,483
1,duliverecthq,0.6513395205277436,1874,469,1953,486
1,Load contacts,0.9999212074605063,2024,469,2111,486
1,ntacts,0.9729204615027606,2073,469,2111,486
1,Venture Capital,0.8728970983199266,2134,469,2229,486
1,2018,1.0,2254,469,2286,483
1,236.8,0.6352974410395704,2424,469,2464,483
1,150,0.9999589112803943,2609,469,2634,483
1,"Jan 23, 2022",0.7536095544343026,2692,469,2774,486
1,Series,0.9959236777682857,2784,469,2826,486
1,Alkeon Capital,0.967699465729839,2934,469,3024,486
1,Corporate,0.9999641971562421,3104,469,3169,486
1,Newion,0.9999783431373382,3234,469,3284,486
1,Redp,0.9999986886978149,3307,469,3344,486
